city,latitude,longitude,Terrain_Zone,current_temp_c,baseline_mean_c,baseline_std,z_score,is_anomaly,Anomaly_Severity,feels_like_c,humidity_pct,precipitation_mm,wind_speed_kmh
Ariyalur,11.1401,79.0786,South / Central TN,31.8,28.5,2.2,1.5,True,Moderate Heat,37.0,61,0.0,11.6
Chengalpattu,12.6825,79.9822,North TN,31.6,28.0,2.0,1.8,True,Moderate Heat,37.7,68,0.0,12.5
Chennai,13.0827,80.2707,North TN,32.7,28.2,2.0,2.25,True,Moderate Heat,38.6,61,0.0,11.7
Coimbatore,11.0168,76.9558,Hilly / High Altitude,30.4,24.5,2.0,2.95,True,Extreme Heat,34.9,57,0.0,7.8
Cuddalore,11.748,79.7714,North TN,31.1,28.0,2.1,1.48,False,Normal,37.5,71,0.0,9.6
Dharmapuri,12.1211,78.1582,North TN,30.7,26.5,2.2,1.91,True,Moderate Heat,34.5,55,0.1,10.5
Dindigul,10.3673,77.9803,South / Central TN,33.1,27.5,2.2,2.55,True,Extreme Heat,36.8,45,0.0,4.6
Erode,11.341,77.7172,South / Central TN,31.6,27.5,2.2,1.86,True,Moderate Heat,37.0,60,0.0,6.4
Kallakurichi,11.7384,78.9639,North TN,30.9,28.0,2.2,1.32,False,Normal,38.6,69,0.0,2.6
Kanchipuram,12.8342,79.7036,North TN,32.0,28.0,2.1,1.9,True,Moderate Heat,37.9,63,0.0,10.9
Kanniyakumari,8.0883,77.5385,South / Central TN,31.6,27.0,1.8,2.56,True,Extreme Heat,34.6,58,0.0,20.9
Karur,10.9601,78.0766,South / Central TN,34.1,28.5,2.3,2.43,True,Moderate Heat,36.8,43,0.0,14.6
Krishnagiri,12.5266,78.2146,North TN,29.8,25.8,2.2,1.82,True,Moderate Heat,32.7,55,0.0,10.2
Madurai,9.9252,78.1198,South / Central TN,32.1,28.8,2.2,1.5,True,Moderate Heat,38.1,55,0.0,0.6
Mayiladuthurai,11.1018,79.6521,South / Central TN,30.3,28.0,2.0,1.15,False,Normal,36.2,71,0.0,10.2
Nagapattinam,10.7656,79.8424,South / Central TN,29.2,28.0,2.0,0.6,False,Normal,34.6,77,0.0,8.4
Namakkal,11.2189,78.1674,South / Central TN,31.3,28.0,2.2,1.5,True,Moderate Heat,36.8,62,0.0,8.5
Nilgiris,11.4916,76.7337,Hilly / High Altitude,20.7,15.5,2.0,2.6,True,Extreme Heat,21.8,74,0.1,10.1
Perambalur,11.2342,78.8821,South / Central TN,32.2,28.2,2.2,1.82,True,Moderate Heat,38.2,59,0.0,3.7
Pudukkottai,10.3833,78.8,South / Central TN,30.9,28.5,2.1,1.14,False,Normal,36.8,64,0.0,2.3
Ramanathapuram,9.3639,78.8395,South / Central TN,33.5,28.5,2.0,2.5,True,Extreme Heat,39.2,55,0.0,7.3
Ranipet,12.9224,79.3331,North TN,32.7,28.0,2.2,2.14,True,Moderate Heat,37.8,54,0.0,9.6
Salem,11.6643,78.146,South / Central TN,29.9,27.5,2.2,1.09,False,Normal,35.2,64,0.0,5.1
Sivaganga,9.8433,78.4809,South / Central TN,31.9,28.5,2.2,1.55,True,Moderate Heat,38.6,59,0.0,1.3
Tenkasi,8.9593,77.3153,South / Central TN,30.7,27.0,2.0,1.85,True,Moderate Heat,33.8,60,0.0,20.7
Thanjavur,10.787,79.1378,South / Central TN,30.7,28.5,2.1,1.05,False,Normal,36.8,70,0.0,9.3
Theni,10.0104,77.4768,South / Central TN,32.5,26.5,2.2,2.73,True,Extreme Heat,37.0,45,0.0,1.0
Thoothukudi,8.7642,78.1348,South / Central TN,33.2,28.2,1.9,2.63,True,Extreme Heat,38.8,53,0.0,7.2
Tiruchirappalli,10.7905,78.7047,South / Central TN,32.6,28.8,2.3,1.65,True,Moderate Heat,36.5,53,0.0,12.8
Tirunelveli,8.7139,77.7567,South / Central TN,35.3,28.5,2.1,3.24,True,Extreme Heat,40.3,39,0.0,1.7
Tirupathur,12.4926,78.5683,North TN,30.3,27.5,2.2,1.27,False,Normal,35.4,60,0.0,6.5
Tiruppur,11.1085,77.3411,South / Central TN,32.9,27.0,2.1,2.81,True,Extreme Heat,38.0,50,0.0,4.7
Tiruvallur,13.1432,79.9098,North TN,32.2,28.0,2.1,2.0,True,Moderate Heat,37.6,64,0.0,13.9
Tiruvannamalai,12.2253,79.0747,North TN,31.4,28.0,2.2,1.55,True,Moderate Heat,36.2,62,0.0,12.6
Tiruvarur,10.7711,79.6364,South / Central TN,29.6,28.0,2.0,0.8,False,Normal,34.8,73,0.0,6.8
Vellore,12.9165,79.1325,North TN,32.8,28.2,2.3,2.0,True,Moderate Heat,37.1,50,0.0,9.7
Viluppuram,11.9401,79.4861,North TN,31.4,28.0,2.2,1.55,True,Moderate Heat,37.6,68,0.0,10.4
Virudhunagar,9.568,77.9624,South / Central TN,32.5,28.8,2.2,1.68,True,Moderate Heat,38.3,56,0.0,4.6
